date,settle,pre_cur_linear,pre_five_linear,pre_ten_linear,pre_cur_nlinear,pre_five_nl,pre_ten_nlinear
1/27/12,641.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
1/30/12,631.75,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
1/31/12,639,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
2/1/12,642,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
2/2/12,649.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
2/3/12,650.75,300.1236629,299.5041647,297.5620747,5.801151884,5.799482118,5.794557249
2/6/12,651.25,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
2/7/12,648.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
2/8/12,648,443.7073891,441.9779868,439.4631903,6.045740253,6.0424667,6.038406429
2/9/12,641.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
2/10/12,635.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
2/13/12,643,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
2/14/12,638,284.9362806,283.5514064,283.0374494,5.713827762,5.711534437,5.710594706
2/15/12,631,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
2/16/12,639.75,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
2/17/12,645.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
2/21/12,633.5,443.7073891,441.9779868,439.4631903,6.045740253,6.0424667,6.038406429
2/22/12,641.25,300.1236629,299.5041647,297.5620747,5.801151884,5.799482118,5.794557249
2/23/12,642.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
2/24/12,644,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
2/27/12,648.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
2/28/12,657.25,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
2/29/12,658,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/1/12,654,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/2/12,655,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
3/5/12,660.75,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/6/12,654,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
3/7/12,638.75,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/8/12,635.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/9/12,645,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/12/12,659.5,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
3/14/12,658.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
3/15/12,669,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/19/12,663.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/20/12,647.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
3/21/12,642,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
3/22/12,644.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/23/12,646.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/26/12,637.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
3/27/12,630.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
